Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Monthly_Balance,Credit_Score
45,36199,3136,3,8,19.04,1,44,0,39467,42.88,4,21708,69197,Poor
38,101631,8709,6,3,13.38,0,32,3,37054,15.26,4,16309,27037,Standard
59,46181,4441,3,4,12.16,3,18,5,5164,54.33,30,6805,91204,Poor
51,63332,4757,1,1,18.43,0,53,15,19548,90.45,25,16767,10836,Poor
27,138591,11073,6,4,14.14,2,16,14,6564,13.98,6,28643,6170,Standard
39,67214,6242,6,6,13.52,0,6,1,1267,81.68,22,21207,23349,Standard
42,66861,6402,4,5,22.57,0,23,10,23969,15.24,13,14959,36629,Poor
45,110426,9944,4,7,17.98,1,7,4,7686,93.34,28,5223,14593,Good
47,139436,11828,4,8,8.63,3,49,11,3777,82.63,29,27477,96325,Standard
29,83318,7827,4,2,22.75,3,2,2,34290,63.95,1,23087,89857,Poor
54,120601,10572,5,4,24.56,5,55,10,68039,52.08,23,20258,13483,Poor
48,106732,9382,2,8,11.91,5,41,12,19484,80.51,18,29231,81335,Standard
24,21526,2110,2,8,22.04,1,4,15,42026,26.68,9,1649,67444,Standard
35,92154,7996,4,7,21.34,0,29,14,75108,45.33,28,16333,59598,Poor
41,35559,2981,6,1,7.05,3,2,0,11913,76.26,20,20890,40924,Standard
53,93706,7231,6,8,24.01,2,52,1,29218,80.99,11,18355,82232,Poor
59,82014,7301,6,6,19.32,0,6,7,287,35.72,27,20763,39270,Good
56,88417,7133,6,2,5.92,1,31,4,53636,14.63,20,6419,25581,Standard
28,141925,12572,4,4,14.14,1,45,10,14125,73.14,2,20750,89098,Standard
58,36150,3593,4,8,18.17,4,8,15,568,52.73,2,18128,57729,Poor
58,83298,7834,5,3,18.84,1,46,4,13573,39.87,20,19862,43184,Good
53,135525,11080,4,4,10.47,2,18,14,17481,17.44,20,22938,99097,Good
53,59179,5657,6,6,19.24,4,40,6,26330,23.87,23,9521,90995,Poor
43,140742,12105,2,3,15.08,5,40,10,15126,73.47,18,15740,77389,Standard
57,143558,12329,6,7,18.48,4,18,13,1673,52.05,1,12480,20048,Poor
24,107851,8102,2,5,20.0,1,18,8,19192,80.54,23,25701,39684,Standard
34,118775,10005,1,6,21.28,0,39,7,73566,40.0,17,25700,92242,Poor
39,110824,9595,1,7,12.75,5,20,1,1699,71.93,7,20334,59073,Poor
35,139470,11919,6,6,20.1,4,47,6,25362,31.48,6,22369,10760,Poor
32,146153,11534,6,2,12.54,3,17,8,17048,19.48,28,8356,1739,Standard
42,81122,7213,2,1,8.07,2,38,1,39472,49.15,19,18027,47934,Poor
25,122764,10679,3,4,24.14,4,4,5,54516,53.88,13,3012,46796,Standard
35,135788,10751,6,6,11.62,2,13,15,73575,79.13,21,288,16036,Poor
63,65351,5357,2,4,24.18,5,56,10,49987,87.43,4,12644,34631,Poor
55,114892,9153,1,6,15.29,4,28,15,5747,31.68,21,6308,42984,Standard
53,30793,3507,1,3,24.43,4,34,0,8581,23.97,21,25348,28941,Standard
64,75601,7011,1,4,15.76,5,56,13,9452,72.22,5,778,61191,Poor
42,24965,1259,1,1,8.56,2,35,2,75361,78.95,30,8475,54429,Poor
45,79129,6884,4,7,11.33,3,43,3,70101,5.53,24,20262,9288,Poor
58,25965,2598,1,6,23.56,0,18,9,79503,12.79,25,14341,50992,Poor
46,127757,10999,1,8,8.13,1,8,12,71529,31.55,21,4721,40066,Good
64,136257,12226,6,6,24.15,0,35,4,16152,8.76,19,19551,52653,Good
55,91765,8586,1,5,9.2,5,57,11,27752,42.14,21,27900,68181,Poor
30,41096,2800,2,5,8.89,1,42,1,71939,46.51,18,2396,39096,Poor
63,28829,1915,1,4,19.51,3,60,10,46810,16.54,21,7685,14113,Poor
39,101201,7575,2,6,14.72,2,39,9,76568,18.72,19,11943,42462,Standard
48,42103,2517,3,4,20.71,5,47,13,36264,80.61,5,22268,97072,Poor
42,135066,11237,4,8,12.17,2,31,3,23038,63.1,3,27583,37780,Poor
29,136824,11505,2,5,19.67,5,4,2,2441,81.46,21,1022,77269,Standard
58,73101,6666,5,4,23.13,4,16,15,19481,37.92,8,29210,78280,Poor
39,37548,3080,5,2,12.94,4,0,7,21737,73.15,5,14621,21869,Poor
32,94233,8794,5,3,19.72,3,60,11,5297,24.69,16,7593,9239,Standard
37,68422,5180,1,4,15.36,2,24,15,59591,84.34,2,21250,43476,Poor
27,112240,10336,5,5,21.7,2,37,5,49369,63.83,12,19257,86634,Poor
25,87720,6825,4,4,15.33,2,52,11,63813,76.34,29,19798,1864,Poor
53,135609,10584,4,3,9.6,4,41,8,27723,18.52,6,11869,79908,Poor
28,106652,8358,4,6,19.41,3,43,15,62786,23.96,6,21209,54857,Poor
22,51938,3416,2,3,7.69,4,2,4,7328,19.97,30,5899,68717,Standard
46,98558,9198,5,1,22.57,5,42,9,11239,24.49,20,15447,64133,Standard
31,48752,4762,4,3,20.89,1,39,8,21983,70.18,11,14859,79188,Poor
58,29023,1888,4,7,7.64,0,12,13,19603,59.5,6,15593,81576,Poor
59,25116,2890,5,2,6.86,5,8,0,56557,51.98,12,28666,6693,Poor
65,89444,7331,2,8,20.79,3,22,3,55769,17.05,16,25095,31475,Standard
26,57128,4985,5,7,10.16,0,45,0,75757,52.03,17,235,50155,Poor
62,46924,4318,3,7,12.25,1,27,8,34249,81.95,14,18503,48925,Poor
60,56118,5069,4,4,13.26,4,30,5,48524,55.32,16,8315,41193,Poor
57,65135,6012,6,7,19.72,5,7,7,58536,75.48,6,3285,29109,Poor
53,72502,6650,3,1,8.21,5,0,2,19048,47.45,20,14266,12552,Standard
25,54483,3994,3,2,17.18,5,24,12,68289,30.78,20,1882,23973,Poor
61,84797,6965,1,4,22.01,4,18,6,4405,75.56,17,16902,92547,Standard
35,100634,7733,6,1,12.19,5,0,5,11382,94.71,25,13088,47285,Standard
63,71792,5812,5,4,15.35,5,45,2,11818,54.46,24,27189,74284,Poor
58,65625,5179,3,4,17.13,1,29,12,75354,5.42,6,13340,67353,Poor
27,93220,6916,5,5,11.8,0,51,8,70504,78.18,19,8196,91989,Poor
49,146622,11990,5,8,20.4,2,49,14,60387,85.69,28,896,64172,Poor
28,53792,3620,4,4,18.54,1,51,10,54057,90.99,17,17552,2274,Poor
65,129075,10295,2,5,6.86,5,47,10,9965,54.91,6,15615,42139,Poor
43,48647,4884,5,5,8.66,5,43,6,65404,71.34,8,24098,32726,Poor
37,47102,3394,2,4,21.73,2,9,3,15712,87.82,22,21739,65574,Standard
60,20868,2304,5,1,21.96,2,39,10,64532,85.83,29,29392,76303,Poor
38,84330,6401,5,5,12.96,4,8,1,68909,76.93,16,17719,5268,Standard
53,65519,5265,6,3,14.14,0,44,14,41373,67.03,1,22089,28623,Poor
45,96153,7218,3,6,17.26,2,11,8,31082,29.25,20,11242,48962,Standard
32,85374,6982,2,7,19.01,2,23,12,36651,45.57,19,4297,76483,Poor
64,49958,4830,1,5,21.08,4,27,12,25698,18.13,24,4900,62995,Poor
21,43148,3458,4,3,24.91,5,33,10,63782,32.0,18,28131,75427,Poor
24,72219,5220,6,3,6.2,2,30,3,58963,72.01,9,11828,48226,Poor
56,93071,8663,3,6,5.4,0,22,6,75609,56.83,21,17643,23877,Poor
39,66544,5210,6,8,20.49,3,56,2,49947,60.23,15,20699,19985,Poor
31,103962,9317,3,7,17.63,4,25,2,10369,19.58,8,10272,42533,Standard
62,58188,5303,3,7,10.42,3,49,11,76928,51.88,15,13565,22930,Poor
32,131963,10043,2,4,18.24,5,44,2,27600,20.02,4,3131,9361,Poor
51,91884,6767,1,7,15.48,0,6,8,20352,12.59,30,29015,52097,Good
40,50062,3677,6,5,13.86,1,8,5,3744,8.16,12,28192,43624,Good
51,81235,7765,5,5,15.97,1,60,5,77441,58.78,21,24540,84342,Poor
57,77013,6489,6,5,23.18,3,34,7,11738,44.77,12,13507,35053,Poor
30,59789,4003,1,3,11.88,3,34,0,64478,90.23,16,9817,2197,Poor
48,124590,9981,5,4,20.94,4,23,6,53967,84.39,14,12935,33754,Poor
31,113708,9984,6,7,21.57,1,16,2,55343,61.28,17,25052,81375,Poor
65,109737,8700,3,5,13.26,0,11,4,37957,14.93,15,20241,60345,Standard
38,111812,9592,4,4,11.41,1,3,0,24371,92.51,10,8820,17389,Standard
49,115303,8624,2,2,8.01,3,13,10,55082,33.04,26,16331,49679,Standard
50,111348,9899,1,6,6.6,1,3,8,51435,11.42,16,5950,26191,Good
37,127118,10374,1,2,24.49,5,15,12,58059,27.24,2,6526,61402,Poor
27,88306,7721,2,8,12.78,2,59,10,20789,61.62,2,24403,73034,Poor
54,36009,2518,4,5,8.97,0,55,6,14801,26.24,14,10633,2974,Standard
31,124122,9908,5,2,12.92,1,0,1,76162,75.51,16,22557,79146,Standard
30,68679,6301,1,4,8.15,0,43,10,7871,10.38,21,5043,92924,Standard
55,123739,9530,2,8,9.65,4,50,11,57503,70.99,1,22585,50514,Poor
43,114948,8854,3,1,14.71,3,35,9,71137,67.73,7,18569,25461,Poor
55,65569,5126,6,8,10.51,4,58,5,9027,52.8,15,9688,35517,Poor
55,68118,5605,1,7,19.67,0,39,11,31298,33.86,3,21570,71642,Poor
45,44886,3813,6,8,20.31,1,39,9,42283,41.88,11,3619,13616,Poor
54,106362,7999,1,3,8.57,0,12,3,63618,22.25,2,18710,85115,Standard
45,106235,8855,5,5,5.98,1,38,2,1715,88.72,7,21487,65409,Standard
26,81349,7419,6,1,12.22,5,60,13,48374,76.48,2,26989,81862,Poor
38,89339,6527,6,2,21.69,0,60,6,68089,13.74,24,7569,70685,Standard
45,44832,3131,5,4,16.4,1,35,13,13829,73.97,19,11729,89407,Poor
50,112084,9702,4,2,8.34,1,35,12,66151,35.38,6,17494,79632,Standard
49,142358,11584,3,6,21.9,3,48,13,42395,59.76,19,17879,29039,Poor
45,120362,10156,6,5,12.2,3,28,12,25,70.37,10,19521,3136,Poor
54,37705,3965,3,1,11.01,1,13,10,2844,74.44,23,26946,37170,Poor
56,87013,7390,5,3,6.89,3,22,4,18141,28.85,29,19076,33749,Standard
35,53586,5126,3,2,16.41,4,58,6,10118,70.12,26,15811,23662,Poor
52,128226,11526,6,2,16.9,2,2,12,10286,75.21,30,25260,44829,Good
43,135316,11949,4,7,23.6,0,55,7,78944,88.58,21,25474,83862,Poor
45,27094,1881,5,1,11.39,4,9,10,65850,67.8,5,1655,89294,Poor
46,147276,12185,5,2,9.44,2,50,12,19400,16.9,3,15592,75899,Standard
24,91847,7470,3,2,12.97,3,49,4,17677,48.28,7,15986,52815,Poor
62,94885,7308,5,4,9.85,2,49,13,42390,66.63,19,2935,15749,Poor
63,74209,6051,3,6,8.81,2,38,0,39953,20.23,12,20192,58961,Poor
60,39112,3161,1,4,8.99,2,9,2,14728,71.56,8,20349,20356,Standard
39,21800,1519,6,2,11.1,3,1,10,27395,71.6,7,6678,72620,Poor
54,118350,9391,5,8,17.46,1,44,0,49362,57.47,22,17262,6699,Poor
37,42324,2650,3,4,20.78,4,17,1,60943,63.93,1,2182,51940,Poor
63,55561,4987,6,6,22.29,0,18,12,30299,93.18,17,23255,14055,Poor
41,83525,7735,5,2,8.73,4,29,0,5210,27.27,17,9991,44721,Standard
52,71563,6487,2,1,11.94,2,22,9,30959,94.64,17,9039,9127,Poor
61,53774,5280,4,1,23.88,2,14,4,44798,85.75,22,4497,12507,Poor
45,88251,8321,6,4,13.35,4,9,13,40944,86.88,11,14718,72071,Standard
29,47100,4261,2,4,22.25,2,44,4,56369,94.61,25,4756,87013,Poor
57,140207,11006,3,2,16.15,5,7,5,41628,80.56,5,23824,4864,Poor
41,135360,12272,4,7,11.07,5,59,8,19917,75.12,4,4310,25215,Poor
22,119935,10247,5,5,17.11,4,14,7,30266,66.86,12,2604,91196,Poor
51,37575,3159,5,8,19.24,2,11,12,64414,47.65,6,6332,30658,Poor
23,73554,6694,1,5,24.0,1,47,6,26812,10.95,30,14394,81879,Poor
52,110159,8844,4,4,13.55,0,38,12,41012,40.47,24,18741,78831,Poor
55,88843,7716,6,1,15.41,3,29,1,32207,51.68,13,24090,6144,Poor
56,70777,5955,6,1,8.8,3,25,9,37475,46.52,14,9647,81364,Poor
24,110433,9260,2,8,21.6,3,5,3,23562,75.09,29,22810,72618,Standard
29,71520,5806,3,8,5.5,3,37,6,59596,13.12,11,22666,86010,Poor
31,114158,10014,1,2,7.28,3,40,11,11181,52.14,13,23818,68065,Standard
60,144486,11367,4,7,5.88,1,58,10,74120,83.42,28,4918,22249,Poor
30,43444,4195,6,1,13.39,2,46,14,37851,61.38,4,29443,18245,Poor
33,20463,1980,3,1,14.17,3,34,0,79689,84.44,8,7106,78183,Poor
63,82352,6791,4,8,6.59,4,0,7,71741,30.03,21,18269,28215,Standard
24,44227,2988,1,6,5.73,0,42,9,43399,87.83,2,3568,55651,Poor
32,41146,3804,3,3,24.33,5,37,11,4697,13.38,10,10578,49309,Poor
45,127513,9764,4,2,10.86,1,7,8,43150,52.43,17,6876,92203,Standard
34,100223,7470,1,2,14.67,5,38,9,55974,59.8,11,8508,69864,Poor
57,101689,8198,2,8,15.39,5,31,15,23580,84.53,8,23218,39074,Poor
33,20207,925,1,8,17.51,0,47,6,54346,42.26,11,11457,74454,Poor
61,47831,3008,6,4,18.8,2,50,2,40340,32.03,18,10614,1803,Poor
28,109893,8839,3,7,19.49,4,1,5,25430,34.75,11,22035,63797,Standard
51,124497,9446,6,3,14.63,5,29,10,60616,75.56,14,24333,8342,Poor
54,59235,5093,6,6,16.1,0,13,10,46346,10.96,5,9190,5085,Poor
42,148924,12178,6,3,16.42,3,11,3,40407,68.47,11,23260,5145,Poor
38,74246,5364,4,4,12.43,2,13,9,22939,15.1,26,1225,27489,Poor
26,78166,6549,1,8,23.1,1,12,10,63369,70.92,17,10169,43904,Poor
30,120857,10856,1,3,9.1,0,29,12,68464,15.43,10,1442,91053,Standard
59,134278,10367,3,8,22.78,0,33,9,2946,56.98,10,20933,28504,Standard
41,46287,3251,3,5,15.65,3,42,3,35737,18.44,9,3750,2999,Poor
60,93351,7831,1,4,15.85,4,20,8,18554,89.9,26,9282,76246,Standard
36,42449,2682,3,6,15.81,0,8,0,61700,86.3,2,3471,51279,Poor
24,31287,2480,4,3,19.09,4,40,14,46612,33.12,27,6492,94441,Poor
63,126076,10598,1,8,16.36,0,52,14,12748,46.0,22,21116,94089,Standard
50,81675,6280,2,3,22.22,4,16,11,51390,21.5,30,21796,44296,Standard
41,79412,6615,1,2,14.51,2,30,14,22387,30.4,12,19806,76324,Poor
29,86577,6424,4,2,11.52,5,4,9,69828,46.49,19,13547,32270,Standard
60,51941,4450,2,8,12.68,2,13,13,57062,56.05,11,17843,91981,Poor
36,42686,3914,6,2,19.79,5,36,15,14984,58.29,15,10661,73756,Poor
27,127744,10556,2,5,24.12,0,38,3,78172,74.42,13,10728,65788,Poor
62,106529,8002,1,4,21.34,4,57,0,19231,64.48,15,17408,39207,Standard
45,100684,8573,4,4,9.11,2,19,9,56980,69.6,30,11280,12703,Poor
58,21064,2007,5,7,21.95,2,3,11,71943,92.11,1,23047,74404,Poor
43,34378,3627,3,1,9.7,5,37,12,41697,69.06,13,12503,58041,Poor
55,47684,4329,2,8,7.78,4,24,11,54687,18.88,28,21956,17455,Poor
29,21520,939,6,1,7.88,3,42,13,17796,12.62,21,26409,55507,Standard
50,137123,12041,6,7,17.46,3,32,13,72358,78.81,13,11642,30588,Poor
32,75675,6544,1,8,21.94,1,45,8,53849,88.39,19,12024,5385,Poor
23,94468,7861,6,6,7.26,3,44,2,18623,70.72,17,28159,99380,Standard
38,80940,6803,1,2,9.9,5,47,2,70673,76.83,10,20088,7917,Poor
42,90127,8104,1,8,14.08,3,36,10,55183,36.76,26,9654,38907,Standard
31,24630,2475,5,5,19.54,4,16,1,62018,57.03,19,1691,87025,Poor
39,126023,11011,5,1,10.74,0,8,2,36418,27.68,20,9206,37073,Good
37,21861,2339,1,3,23.2,5,9,14,48466,77.71,9,25641,92851,Poor
36,83559,6333,5,1,11.86,0,9,4,65004,72.75,14,25243,51222,Standard
36,106594,8783,6,3,9.22,5,53,11,7120,62.8,25,26854,16203,Standard
24,41967,3447,4,8,11.03,5,60,7,49781,66.52,13,15551,35422,Poor
30,89526,8242,4,1,10.78,3,24,10,69501,66.46,2,3190,70637,Poor
61,66376,6489,4,5,11.7,2,51,3,33468,63.89,13,15109,89511,Poor
36,116247,10063,5,4,15.4,5,44,5,41060,54.29,22,277,9906,Poor
21,73903,5358,5,2,18.71,2,14,9,33016,22.38,1,20296,13050,Poor
24,143011,12133,6,4,24.01,5,7,3,11322,82.08,5,12319,87034,Standard
62,94195,8493,2,2,18.91,2,18,14,9924,62.49,30,9056,56965,Standard
65,138409,11901,3,5,8.24,0,17,1,50174,39.97,2,8461,35690,Standard
32,77747,5620,4,4,17.21,1,41,15,14212,17.95,25,14131,29624,Standard
60,104323,7910,4,5,7.07,0,4,8,58442,6.69,16,4877,86572,Good
61,20113,2586,1,7,10.33,5,21,12,75319,5.33,23,25263,65314,Poor
51,77154,6256,6,2,15.8,0,24,15,15886,56.05,30,11761,44704,Poor
64,59692,4794,1,2,12.31,2,5,14,38005,63.3,6,18169,6155,Poor
45,106603,8274,3,7,22.93,5,44,11,63766,12.64,21,14351,97380,Standard
33,38342,2268,2,1,19.39,4,15,15,50956,10.67,18,21083,41334,Poor
52,89984,8474,4,1,5.74,0,21,1,53150,15.64,26,21425,88466,Standard
54,80079,7598,6,3,19.82,1,59,2,4833,71.19,16,21424,3498,Standard
51,138905,12455,5,1,9.85,5,8,0,22577,61.94,29,10070,13752,Standard
50,100114,7691,5,2,21.36,0,7,15,77984,76.93,8,2067,27560,Standard
48,64216,6012,6,7,11.48,5,36,4,42151,80.28,26,6987,6975,Poor
58,42734,3248,1,2,10.48,3,10,11,72536,19.85,8,19070,6334,Poor
29,33102,3378,6,7,20.55,0,56,15,10580,5.57,6,2920,93633,Standard
62,97821,8967,3,7,18.87,3,44,4,27021,17.88,9,17140,60037,Poor
47,51359,5200,2,1,16.93,5,31,2,39478,36.31,1,18275,31885,Poor
33,35401,3035,1,6,22.25,4,32,7,60845,74.33,22,6819,37231,Poor
24,45391,3012,2,8,14.95,1,42,1,7081,63.04,10,6867,57973,Poor
37,63816,5581,4,1,7.09,0,59,5,20715,75.69,16,16872,16212,Poor
25,137319,10924,6,8,16.85,2,26,6,42688,25.71,4,10686,30855,Standard
27,51079,4766,4,4,12.51,1,4,15,76689,48.6,29,14282,19997,Poor
34,141620,12049,4,3,12.75,1,29,6,47001,92.8,7,11006,17673,Poor
23,110729,9391,1,5,7.73,3,29,13,22439,73.43,8,29045,39687,Poor
59,40550,3995,6,3,16.56,4,54,7,11334,42.05,17,16030,29369,Poor
58,82061,7552,4,5,5.29,3,47,7,32483,34.46,19,7287,78564,Standard
30,139767,11821,1,7,24.6,0,30,1,55797,52.8,16,26532,92311,Poor
27,79302,6622,2,2,16.17,0,44,13,28574,16.94,10,7833,85887,Poor
26,22087,1822,6,5,8.24,3,54,0,59616,46.74,5,28645,93161,Poor
46,44241,4303,3,8,19.08,0,55,2,50446,85.41,11,17397,5287,Poor
39,75823,6859,3,4,20.75,0,39,10,7184,51.33,30,22107,48708,Poor
24,34544,2662,3,8,17.38,2,23,5,73241,68.44,18,23243,27832,Poor
29,148614,12069,2,2,17.98,5,60,6,29548,33.84,29,8760,67003,Standard
64,75434,5853,1,2,12.46,3,31,3,61625,68.88,22,27046,70842,Poor
39,79241,6874,3,2,8.77,3,5,2,51207,85.82,10,2521,15334,Poor
31,56168,3909,6,3,14.93,1,33,0,38426,42.49,22,17741,18305,Poor
51,65442,5313,4,1,10.83,0,1,7,68107,63.02,14,18962,45930,Poor
62,104679,9334,3,8,16.87,5,33,14,60031,32.37,5,29434,41172,Poor
31,123450,9819,2,8,12.44,2,49,1,19443,36.78,15,5451,82085,Good
31,113298,9537,3,3,24.46,5,44,4,21135,26.41,2,10375,76304,Poor
29,77788,6015,3,3,9.1,5,2,10,45068,18.31,15,17690,22311,Standard
55,59526,4208,1,7,23.62,1,60,14,41971,19.04,24,17896,67507,Poor
42,104835,9180,3,8,22.92,4,42,4,74086,70.57,30,14486,45392,Poor
65,34721,3391,4,1,7.79,4,7,9,3250,41.15,27,7220,59454,Standard
43,32121,2344,1,4,16.67,1,50,8,25652,7.03,18,27834,59387,Poor
64,108022,9962,1,7,8.89,2,38,1,47325,40.78,23,27977,57051,Poor
44,70608,5647,1,5,11.9,2,28,2,28271,70.51,15,24298,55474,Poor
49,57831,4154,6,7,19.57,3,8,2,18827,23.7,16,28427,69852,Standard
42,28665,3299,5,7,6.77,3,40,8,54331,20.74,15,23273,75437,Poor
29,46117,3223,4,5,16.08,0,52,9,76704,32.35,18,24243,61745,Poor
35,23517,2579,1,3,10.25,5,53,15,16276,63.84,29,9426,55677,Poor
32,84472,7896,6,4,5.57,2,31,2,78497,72.1,19,15744,75130,Poor
48,133815,10679,6,8,24.49,0,23,0,34018,19.66,2,4788,42901,Standard
50,135122,11679,2,6,8.27,2,23,13,46659,9.38,10,17354,84747,Standard
25,87353,6675,6,3,20.29,4,48,5,71265,34.03,11,27093,90780,Standard
40,55580,5034,6,6,6.92,4,22,4,1690,17.33,10,12222,64556,Poor
47,64605,6269,2,2,9.36,4,14,6,73224,60.21,27,17224,70742,Poor
56,112047,9885,1,7,14.21,0,7,4,2277,48.16,10,22644,48522,Standard
29,127090,10495,5,6,8.44,2,1,3,29144,16.58,23,4664,91183,Good
35,60295,4280,2,3,24.62,3,44,3,10188,6.69,16,24816,57524,Standard
23,45736,3031,1,1,14.38,2,2,2,39537,65.08,25,3162,17225,Poor
59,46922,4113,2,3,18.41,0,5,4,36356,90.39,12,11540,22044,Poor
53,122341,10687,5,4,15.1,0,6,0,69315,24.53,7,9235,23514,Standard
55,20567,2706,6,2,23.48,4,54,15,48033,67.83,6,14406,89280,Poor
27,43704,4351,3,7,13.48,4,14,13,14790,73.53,11,4050,62066,Poor
28,88121,6621,4,6,19.09,4,46,1,10780,34.53,4,12608,38173,Standard
50,98694,8731,3,8,9.52,3,18,13,24744,82.11,29,27559,63347,Poor
64,68161,5047,1,8,18.44,3,28,2,15626,17.9,13,22774,78405,Standard
27,117180,10659,2,2,12.27,1,21,6,77982,80.96,13,4022,31522,Poor
48,115053,9609,3,5,20.13,5,60,12,46674,47.82,20,13252,64508,Poor
53,56554,4013,4,2,7.44,3,31,7,17643,7.68,24,1731,9942,Standard
52,108880,8127,2,7,17.09,2,9,9,12626,73.42,22,24628,69150,Good
52,123904,10279,2,5,18.24,3,32,8,71098,35.93,28,17712,72646,Standard
22,144856,12635,1,7,22.6,0,24,14,41229,81.76,15,15062,5716,Poor
23,43182,3738,6,5,22.69,1,31,13,17627,33.12,13,15972,15336,Standard
57,108476,9043,6,8,14.52,1,32,1,51299,28.71,19,12379,81863,Standard
64,66237,6088,3,6,6.23,4,2,4,48026,36.4,24,19135,4525,Standard
61,64729,5173,1,7,11.9,2,26,11,7398,64.51,8,7688,85945,Poor
40,97664,7311,6,2,22.38,0,21,5,2583,53.46,2,15103,87214,Standard
48,94455,7925,4,5,5.41,3,37,0,41486,39.0,13,10565,76043,Standard
27,125948,10495,1,4,11.72,4,51,10,21840,60.33,12,14286,27444,Poor
52,103288,9342,1,4,10.75,0,19,12,29607,61.21,3,23517,76784,Poor
27,97576,7820,3,2,16.33,4,30,13,27490,36.26,3,21349,40563,Poor
53,125398,10063,4,6,9.0,3,16,14,71770,21.25,1,20573,93187,Poor
54,133077,10471,5,8,9.26,5,60,14,35118,89.34,18,26507,81533,Poor
48,142504,12034,6,1,15.45,2,29,4,31506,18.54,22,25084,40357,Standard
48,73773,5799,1,4,21.92,2,52,9,21048,28.08,20,7737,54197,Poor
36,34884,2214,2,1,9.91,2,29,15,73377,94.22,14,21198,5850,Poor
33,40887,2965,2,1,10.17,2,42,5,5535,91.74,16,25632,3609,Poor
24,132667,11891,1,6,17.03,0,57,13,47636,65.45,29,2959,53021,Poor
29,50938,3473,5,2,15.44,4,60,8,65070,84.61,8,19654,17027,Poor
41,63160,5967,5,7,21.12,5,15,13,28574,17.99,6,7015,36985,Poor
49,73526,5647,5,1,14.81,2,44,3,41482,54.12,16,22371,33289,Poor
38,135269,11878,2,6,14.5,2,52,9,2762,63.09,29,19851,5562,Standard
63,124718,11319,1,4,10.06,3,19,11,15997,53.14,8,28103,58986,Poor
45,21031,2615,4,5,11.02,1,19,6,21001,87.43,21,10393,85466,Poor
47,123457,9357,3,2,21.46,3,30,13,43610,69.56,29,26877,14159,Poor
31,111551,8829,5,2,12.04,4,46,10,59409,67.57,25,1707,85066,Poor
62,44083,3963,4,3,5.06,1,40,9,41120,56.82,4,5171,33716,Poor
54,113528,10445,6,3,21.94,5,26,10,59177,48.05,24,4374,35167,Poor
32,110107,9389,3,5,8.97,3,23,5,51576,83.88,27,28978,75762,Poor
35,22717,2834,1,4,23.14,3,12,8,22119,9.48,20,14054,79694,Poor
37,39562,2478,3,3,23.94,0,0,13,59468,79.45,16,3883,30423,Poor
34,44975,4684,3,5,19.93,3,8,13,27080,59.01,27,9272,96251,Poor
64,44820,3591,2,7,20.85,0,18,8,30865,60.59,30,8136,49449,Poor
58,109688,9465,4,2,5.21,1,55,10,52108,66.82,23,12566,93858,Poor
48,116482,9929,3,2,6.91,0,3,10,30781,47.38,12,19869,88921,Standard
59,113004,9949,1,1,10.07,4,24,9,51733,65.41,5,29236,74342,Poor
23,96085,7374,3,3,15.07,2,56,14,17290,13.07,23,17380,57744,Good
30,54131,3749,3,1,24.57,3,55,8,47263,88.36,10,29582,35500,Poor
60,128735,11286,3,6,13.72,1,20,15,19826,55.01,30,21542,84447,Standard
49,26975,1633,2,1,9.6,0,30,8,21437,68.54,14,3801,65868,Poor
23,77870,6219,6,8,14.16,0,54,4,16207,36.46,7,28448,38239,Standard
32,129439,10130,6,5,16.26,5,37,6,76486,94.82,1,17236,75814,Poor
32,74580,7100,1,4,20.37,5,6,10,3402,30.59,22,3997,52664,Standard
44,97376,9016,1,6,8.08,0,29,15,59513,61.55,9,19470,87246,Poor
21,63178,6250,1,8,11.5,5,46,4,27704,82.7,26,21090,38087,Poor
41,124614,9497,6,2,15.94,4,24,2,52279,27.96,8,25260,53286,Poor
26,22688,2635,2,3,12.77,3,18,4,15807,31.87,26,14167,97454,Standard
40,138454,11939,5,3,12.18,0,53,11,67194,22.99,15,29013,51867,Standard
51,55190,4752,5,7,6.8,3,51,11,24426,44.07,14,3045,6300,Poor
53,64793,6392,4,4,17.95,5,9,15,69111,61.66,17,2751,39103,Poor
50,77325,5605,4,5,7.97,1,43,9,32591,52.08,10,18629,7255,Poor
56,30031,3380,1,2,15.21,3,6,14,74511,78.15,12,8351,77751,Poor
26,120748,10093,1,2,19.81,3,11,5,51505,9.07,14,28729,93324,Standard
40,61149,5297,6,8,20.15,3,39,8,44739,92.0,28,26542,25535,Poor
34,44259,2848,6,5,22.43,0,27,0,766,40.54,1,5627,86957,Poor
51,80314,7108,4,8,11.06,4,23,12,39669,12.89,5,454,26008,Poor
28,126950,9611,6,4,22.18,1,30,4,31690,44.22,21,28121,71593,Poor
33,31284,2223,4,3,14.48,0,7,5,19978,71.49,15,15894,62799,Standard
22,132695,10977,5,4,9.03,4,53,12,6674,35.05,4,20657,94466,Standard
48,148383,12216,4,5,5.74,3,31,15,30396,69.29,17,623,56312,Poor
57,61399,5249,1,5,22.86,3,56,15,15327,49.53,21,11362,59762,Poor
